"YEAR","EVENT_ID","SITE_ID","STATION","POT_ID","SAMPLE_POT","all_Cnt_cc","all_Kg_cc","lrg_Cnt","lrg_Kg","fem_Cnt","fem_Kg"
"1992","1992P04004","1","B","9","Sample","15","0.55",15.000000,0.550000,6.000000,0.262640
"1992","1992P04001","1","C","1","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04001","1","C","10","Sample","10","0.2",10.000000,0.200000,4.000000,0.116057
"1992","1992P04001","1","C","11","Sample","1","0.031",1.000000,0.031000,0.000000,0.000000
"1992","1992P04001","1","C","2","Sample","4","0.072",4.000000,0.072000,2.000000,0.046261
"1992","1992P04001","1","C","3","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04001","1","C","4","Sample","6","0.094",6.000000,0.094000,2.000000,0.044075
"1992","1992P04001","1","C","5","Sample","4","0.04",0.000000,0.000000,0.000000,0.000000
"1992","1992P04001","1","C","6","Sample","20","0.376",20.000000,0.376000,8.000000,0.200003
"1992","1992P04001","1","C","7","Sample","10","0.105",6.000000,0.092108,2.000000,0.040577
"1992","1992P04001","1","C","8","Sample","4","0.048",2.000000,0.030317,0.000000,0.000000
"1992","1992P04001","1","C","9","Sample","4","0.063",4.000000,0.063000,0.000000,0.000000
"1992","1992P04002","1","D","1","Sample","26","0.496",22.000000,0.470551,16.000000,0.380679
"1992","1992P04002","1","D","10","Sample","42","0.697",38.000000,0.668938,12.000000,0.271846
"1992","1992P04002","1","D","11","Sample","22","0.32",16.000000,0.275787,6.000000,0.120592
"1992","1992P04002","1","D","2","Sample","32","0.452",28.000000,0.414464,4.000000,0.088567
"1992","1992P04002","1","D","3","Sample","46","0.697",40.000000,0.645361,12.000000,0.260157
"1992","1992P04002","1","D","4","Sample","26","0.363",24.000000,0.353861,4.000000,0.083682
"1992","1992P04002","1","D","5","Sample","20","0.317",20.000000,0.317000,6.000000,0.133407
"1992","1992P04002","1","D","6","Sample","34","0.568",30.000000,0.529102,12.000000,0.265915
"1992","1992P04002","1","D","7","Sample","74","1.191",72.000000,1.171516,14.000000,0.324632
"1992","1992P04002","1","D","8","Sample","18","0.304",14.000000,0.277865,6.000000,0.146545
"1992","1992P04002","1","D","9","Sample","20","0.281",18.000000,0.262843,2.000000,0.045353
"1992","1992P04005","2","A","1","Sample","6","0.195",4.000000,0.167905,3.000000,0.134606
"1992","1992P04005","2","A","10","Sample","14","0.373",8.000000,0.279176,3.000000,0.132141
"1992","1992P04005","2","A","11","Sample","24","0.77",22.000000,0.730852,6.000000,0.269369
"1992","1992P04005","2","A","2","Sample","3","0.143",3.000000,0.143000,3.000000,0.143000
"1992","1992P04005","2","A","3","Sample","5","0.079",2.000000,0.044538,0.000000,0.000000
"1992","1992P04005","2","A","4","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04005","2","A","5","Sample","3","0.038",0.000000,0.000000,0.000000,0.000000
"1992","1992P04005","2","A","6","Sample","7","0.204",5.000000,0.173380,2.000000,0.096344
"1992","1992P04005","2","A","7","Sample","10","0.332",7.000000,0.282418,5.000000,0.226982
"1992","1992P04005","2","A","8","Sample","10","0.304",6.000000,0.231358,3.000000,0.147525
"1992","1992P04005","2","A","9","Sample","6","0.116",3.000000,0.075659,0.000000,0.000000
"1992","1992P04006","2","B","1","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04006","2","B","10","Sample","7","0.198",5.000000,0.167019,2.000000,0.083873
"1992","1992P04006","2","B","11","Sample","17","0.732",16.000000,0.717393,10.000000,0.519249
"1992","1992P04006","2","B","2","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04006","2","B","3","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04006","2","B","4","Sample","1","0.026",1.000000,0.026000,0.000000,0.000000
"1992","1992P04006","2","B","5","Sample","1","0.02",0.000000,0.000000,0.000000,0.000000
"1992","1992P04006","2","B","6","Sample","13","0.381",10.000000,0.330381,2.000000,0.097404
"1992","1992P04006","2","B","7","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04006","2","B","8","Sample","30","0.967",22.000000,0.862534,9.000000,0.462775
"1992","1992P04006","2","B","9","Sample","19","0.62",17.000000,0.581756,5.000000,0.224039
"1992","1992P04007","2","C","1","Sample","2","0.136",2.000000,0.136000,2.000000,0.136000
"1992","1992P04007","2","C","10","Sample","7","0.202",5.000000,0.163453,1.000000,0.039075
"1992","1992P04007","2","C","11","Sample","17","0.684",16.000000,0.667562,11.000000,0.503658
"1992","1992P04007","2","C","2","Sample","9","0.372",9.000000,0.372000,7.000000,0.317214
"1992","1992P04007","2","C","3","Sample","14","0.529",12.000000,0.493747,6.000000,0.294020
"1992","1992P04007","2","C","4","Sample","5","0.22",4.000000,0.210967,4.000000,0.210967
"1992","1992P04007","2","C","5","Sample","13","0.429",11.000000,0.398922,5.000000,0.216501
"1992","1992P04007","2","C","6","Sample","5","0.18",5.000000,0.180000,1.000000,0.053669
"1992","1992P04007","2","C","7","Sample","1","0.051",1.000000,0.051000,1.000000,0.051000
"1992","1992P04007","2","C","8","Sample","4","0.081",2.000000,0.056757,0.000000,0.000000
"1992","1992P04007","2","C","9","Sample","16","0.434",13.000000,0.389930,1.000000,0.039140
"1992","1992P04008","2","D","1","Sample","5","0.222",5.000000,0.222000,3.000000,0.149568
"1992","1992P04008","2","D","10","Sample","3","0.081",1.000000,0.046062,1.000000,0.046062
"1992","1992P04008","2","D","11","Sample","12","0.329",9.000000,0.281108,1.000000,0.044237
"1992","1992P04008","2","D","2","Sample","6","0.281",5.000000,0.266182,5.000000,0.266182
"1992","1992P04008","2","D","3","Sample","1","0.058",1.000000,0.058000,1.000000,0.058000
"1992","1992P04008","2","D","4","Sample","1","0.035",1.000000,0.035000,0.000000,0.000000
"1992","1992P04008","2","D","5","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04008","2","D","6","Sample","2","0.035",1.000000,0.019935,0.000000,0.000000
"1992","1992P04008","2","D","7","Sample","6","0.15",4.000000,0.115586,0.000000,0.000000
"1992","1992P04008","2","D","8","Sample","21","0.823",21.000000,0.823000,10.000000,0.502189
"1992","1992P04008","2","D","9","Sample","17","0.602",16.000000,0.583588,6.000000,0.294695
"1992","1992P04009","3","A","1","Sample","3","0.03",0.000000,0.000000,0.000000,0.000000
"1992","1992P04009","3","A","10","Sample","18","0.38",11.000000,0.289646,0.000000,0.000000
"1992","1992P04009","3","A","11","Sample","6","0.118",3.000000,0.082397,0.000000,0.000000
"1992","1992P04009","3","A","2","Sample","11","0.233",6.000000,0.166390,0.000000,0.000000
"1992","1992P04009","3","A","3","Sample","26","0.436",9.000000,0.239413,0.000000,0.000000
"1992","1992P04009","3","A","4","Sample","8","0.153",5.000000,0.112050,0.000000,0.000000
"1992","1992P04009","3","A","5","Sample","1","0.01",0.000000,0.000000,0.000000,0.000000
"1992","1992P04009","3","A","6","Sample","21","0.36",9.000000,0.260103,1.000000,0.039761
"1992","1992P04009","3","A","7","Sample","15","0.328",7.000000,0.221939,2.000000,0.091153
"1992","1992P04009","3","A","8","Sample","3","0.065",2.000000,0.045644,0.000000,0.000000
"1992","1992P04009","3","A","9","Sample","15","0.285",8.000000,0.198280,0.000000,0.000000
"1992","1992P04010","3","B","1","Sample","20","0.543",15.000000,0.462766,3.000000,0.132416
"1992","1992P04010","3","B","10","Sample","27","0.48",9.000000,0.268656,1.000000,0.044663
"1992","1992P04010","3","B","11","Sample","10","0.135",2.000000,0.057945,0.000000,0.000000
"1992","1992P04010","3","B","2","Sample","25","0.566",13.000000,0.372067,1.000000,0.039449
"1992","1992P04010","3","B","3","Sample","9","0.195",4.000000,0.139160,1.000000,0.054082
"1992","1992P04010","3","B","4","Sample","15","0.256",5.000000,0.139978,1.071428,0.039147
"1992","1992P04010","3","B","5","Sample","39","0.602",9.000000,0.236117,1.000000,0.044389
"1992","1992P04010","3","B","6","Sample","26","0.528",12.000000,0.350694,2.000000,0.079954
"1992","1992P04010","3","B","7","Sample","26","0.329",3.000000,0.080122,0.000000,0.000000
"1992","1992P04010","3","B","8","Sample","50","0.786",13.000000,0.353393,2.000000,0.065885
"1992","1992P04010","3","B","9","Sample","34","0.608",11.000000,0.335044,3.000000,0.113362
"1992","1992P04011","3","C","1","Sample","7","0.144",5.000000,0.125385,0.000000,0.000000
"1992","1992P04011","3","C","10","Sample","12","0.239",7.000000,0.170445,0.000000,0.000000
"1992","1992P04011","3","C","11","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04011","3","C","2","Sample","3","0.052",2.000000,0.044396,0.000000,0.000000
"1992","1992P04011","3","C","3","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04011","3","C","4","Sample","6","0.122",2.000000,0.084897,2.000000,0.084897
"1992","1992P04011","3","C","5","Sample","7","0.119",2.000000,0.042446,0.000000,0.000000
"1992","1992P04011","3","C","6","Sample","6","0.131",5.000000,0.123496,0.000000,0.000000
"1992","1992P04011","3","C","7","Sample","17","0.29",4.000000,0.096931,0.000000,0.000000
"1992","1992P04011","3","C","8","Sample","28","0.492",14.000000,0.356952,0.000000,0.000000
"1992","1992P04011","3","C","9","Sample","3","0.06",2.000000,0.050536,0.000000,0.000000
"1992","1992P04012","3","D","1","Sample","6","0.146",5.000000,0.127256,0.000000,0.000000
"1992","1992P04012","3","D","10","Sample","1","0.021",1.000000,0.021000,0.000000,0.000000
"1992","1992P04012","3","D","11","Sample","13","0.277",9.000000,0.243658,0.000000,0.000000
"1992","1992P04012","3","D","2","Sample","8","0.259",6.000000,0.225387,2.000000,0.101132
"1992","1992P04012","3","D","3","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04012","3","D","5","Sample","48","0.852",16.000000,0.431229,2.000000,0.078011
"1992","1992P04012","3","D","6","Sample","6","0.099",0.000000,0.000000,0.000000,0.000000
"1992","1992P04012","3","D","7","Sample","10","0.154",3.000000,0.078849,0.000000,0.000000
"1992","1992P04012","3","D","8","Sample","3","0.043",0.000000,0.000000,0.000000,0.000000
"1992","1992P04012","3","D","9","Sample","8","0.065",0.000000,0.000000,0.000000,0.000000
"1992","1992P04013","4","A","1","Sample","1","0.021",1.000000,0.021000,0.000000,0.000000
"1992","1992P04013","4","A","10","Sample","22","0.549",13.000000,0.442266,5.000000,0.224409
"1992","1992P04013","4","A","11","Sample","10","0.25",8.000000,0.227639,1.000000,0.036139
"1992","1992P04013","4","A","2","Sample","16","0.313",6.000000,0.157402,0.000000,0.000000
"1992","1992P04013","4","A","3","Sample","34","0.814",18.000000,0.584019,5.000000,0.213185
"1992","1992P04013","4","A","4","Sample","18","0.443",10.000000,0.325606,4.000000,0.159517
"1992","1992P04013","4","A","5","Sample","12","0.314",6.000000,0.210445,4.000000,0.156245
"1992","1992P04013","4","A","6","Sample","2","0.03",0.000000,0.000000,0.000000,0.000000
"1992","1992P04013","4","A","7","Sample","19","0.472",10.000000,0.332237,3.000000,0.132862
"1992","1992P04013","4","A","8","Sample","13","0.254",6.000000,0.159801,1.000000,0.045428
"1992","1992P04013","4","A","9","Sample","14","0.311",7.000000,0.199430,1.000000,0.037720
"1992","1992P04014","4","B","1","Sample","16","0.295",5.000000,0.143244,1.000000,0.039821
"1992","1992P04014","4","B","10","Sample","20","0.398",12.000000,0.296678,0.000000,0.000000
"1992","1992P04014","4","B","11","Sample","11","0.2",4.000000,0.122118,1.000000,0.035392
"1992","1992P04014","4","B","2","Sample","29","0.54",14.000000,0.348951,1.000000,0.039970
"1992","1992P04014","4","B","3","Sample","25","0.408",6.000000,0.150839,0.000000,0.000000
"1992","1992P04014","4","B","4","Sample","5","0.046",0.000000,0.000000,0.000000,0.000000
"1992","1992P04014","4","B","5","Sample","30","0.429",5.000000,0.139954,1.000000,0.039289
"1992","1992P04014","4","B","6","Sample","22","0.474",9.000000,0.278811,3.000000,0.131047
"1992","1992P04014","4","B","7","Sample","24","0.479",13.000000,0.334952,1.000000,0.035997
"1992","1992P04014","4","B","8","Sample","17","0.365",8.000000,0.244528,2.000000,0.080298
"1992","1992P04014","4","B","9","Sample","22","0.547",16.000000,0.476548,1.000000,0.040071
"1992","1992P04015","4","C","1","Sample","39","0.73",16.000000,0.437522,2.000000,0.074471
"1992","1992P04015","4","C","10","Sample","11","0.18",3.000000,0.078852,0.000000,0.000000
"1992","1992P04015","4","C","11","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04015","4","C","2","Sample","24","0.394",7.000000,0.167606,0.000000,0.000000
"1992","1992P04015","4","C","3","Sample","40","0.688",13.000000,0.326049,2.000000,0.071830
"1992","1992P04015","4","C","4","Sample","53","0.924",16.000000,0.416917,2.000000,0.080415
"1992","1992P04015","4","C","5","Sample","28","0.444",9.000000,0.217511,0.000000,0.000000
"1992","1992P04015","4","C","6","Sample","33","0.382",3.000000,0.078875,1.100000,0.036639
"1992","1992P04015","4","C","7","Sample","61","0.923",11.000000,0.302723,0.000000,0.000000
"1992","1992P04015","4","C","8","Sample","42","0.521",3.000000,0.079662,1.050000,0.032410
"1992","1992P04015","4","C","9","Sample","51","1.158",30.000000,0.856313,3.000000,0.129170
"1992","1992P04016","4","D","1","Sample","5","0.084",2.000000,0.049941,0.000000,0.000000
"1992","1992P04016","4","D","10","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04016","4","D","11","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04016","4","D","2","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04016","4","D","3","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04016","4","D","4","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04016","4","D","5","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04016","4","D","6","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04016","4","D","7","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04016","4","D","8","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04016","4","D","9","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04026","5","A","1","Sample","33","0.798",21.000000,0.628451,3.000000,0.124416
"1992","1992P04026","5","A","11","Sample","4","0.063",1.000000,0.026532,0.000000,0.000000
"1992","1992P04026","5","A","2","Sample","21","0.579",14.000000,0.477643,6.000000,0.266902
"1992","1992P04026","5","A","3","Sample","36","0.758",20.000000,0.542658,3.000000,0.115016
"1992","1992P04026","5","A","4","Sample","49","1.003",23.000000,0.601363,0.000000,0.000000
"1992","1992P04026","5","A","5","Sample","25","0.556",17.000000,0.430021,0.000000,0.000000
"1992","1992P04026","5","A","6","Sample","9","0.252",7.000000,0.217655,1.000000,0.057389
"1992","1992P04026","5","A","7","Sample","22","0.443",12.000000,0.308972,0.000000,0.000000
"1992","1992P04026","5","A","8","Sample","38","0.888",22.000000,0.640177,3.000000,0.128319
"1992","1992P04026","5","A","9","Sample","20","0.342",8.000000,0.191503,0.000000,0.000000
"1992","1992P04027","5","B","1","Sample","43","0.902",21.000000,0.612172,3.071428,0.138471
"1992","1992P04027","5","B","10","Sample","20","0.443",13.000000,0.350031,0.000000,0.000000
"1992","1992P04027","5","B","11","Sample","14","0.34",9.000000,0.262498,1.000000,0.042878
"1992","1992P04027","5","B","2","Sample","17","0.384",13.000000,0.322834,0.000000,0.000000
"1992","1992P04027","5","B","3","Sample","78","1.526",36.000000,1.011771,3.000000,0.126422
"1992","1992P04027","5","B","4","Sample","12","0.289",5.000000,0.186985,3.000000,0.132334
"1992","1992P04027","5","B","5","Sample","23","0.529",15.000000,0.425949,5.000000,0.183362
"1992","1992P04027","5","B","6","Sample","41","0.781",16.000000,0.464724,1.000000,0.038352
"1992","1992P04027","5","B","7","Sample","22","0.667",18.000000,0.609432,6.000000,0.262651
"1992","1992P04027","5","B","8","Sample","17","0.434",13.000000,0.371075,1.000000,0.051879
"1992","1992P04027","5","B","9","Sample","12","0.267",7.000000,0.195515,0.000000,0.000000
"1992","1992P04028","5","C","1","Sample","2","0.046",1.000000,0.028563,0.000000,0.000000
"1992","1992P04028","5","C","10","Sample","7","0.1",2.000000,0.057412,0.000000,0.000000
"1992","1992P04028","5","C","11","Sample","30","0.693",19.000000,0.549742,1.000000,0.054109
"1992","1992P04028","5","C","2","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04028","5","C","3","Sample","7","0.171",5.000000,0.142517,0.000000,0.000000
"1992","1992P04028","5","C","4","Sample","6","0.179",6.000000,0.179000,1.000000,0.046743
"1992","1992P04028","5","C","5","Sample","16","0.385",10.000000,0.310224,1.000000,0.052381
"1992","1992P04028","5","C","6","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04028","5","C","7","Sample","9","0.134",4.000000,0.100981,0.000000,0.000000
"1992","1992P04028","5","C","8","Sample","5","0.105",3.000000,0.078935,0.000000,0.000000
"1992","1992P04028","5","C","9","Sample","4","0.131",3.000000,0.111230,1.000000,0.065731
"1992","1992P04029","5","D","1","Sample","9","0.334",9.000000,0.334000,3.000000,0.130420
"1992","1992P04029","5","D","10","Sample","9","0.215",6.000000,0.173937,1.000000,0.042919
"1992","1992P04029","5","D","11","Sample","27","0.563",13.000000,0.398214,3.000000,0.127659
"1992","1992P04029","5","D","2","Sample","11","0.348",10.000000,0.331372,2.000000,0.092491
"1992","1992P04029","5","D","3","Sample","31","0.754",22.000000,0.625562,1.000000,0.033454
"1992","1992P04029","5","D","4","Sample","6","0.167",4.000000,0.130816,1.000000,0.038677
"1992","1992P04029","5","D","5","Sample","24","0.596",17.000000,0.510508,3.000000,0.122939
"1992","1992P04029","5","D","6","Sample","12","0.257",6.000000,0.177436,0.000000,0.000000
"1992","1992P04029","5","D","7","Sample","11","0.304",10.000000,0.288782,1.000000,0.040219
"1992","1992P04029","5","D","8","Sample","28","0.71",23.000000,0.648857,0.000000,0.000000
"1992","1992P04029","5","D","9","Sample","12","0.325",9.000000,0.279690,2.000000,0.096398
"1992","1992P04017","6","A","1","Sample","93","1.319",13.000000,0.277389,0.000000,0.000000
"1992","1992P04017","6","A","10","Sample","15","0.367",11.000000,0.308448,2.000000,0.085518
"1992","1992P04017","6","A","11","Sample","10","0.178",4.000000,0.097489,0.000000,0.000000
"1992","1992P04017","6","A","2","Sample","91","1.269",14.000000,0.301149,0.000000,0.000000
"1992","1992P04017","6","A","3","Sample","56","0.849",10.000000,0.228465,1.000000,0.030794
"1992","1992P04017","6","A","4","Sample","22","0.383",6.000000,0.137601,1.000000,0.028368
"1992","1992P04017","6","A","5","Sample","29","0.668",16.000000,0.470560,6.000000,0.231006
"1992","1992P04017","6","A","6","Sample","8","0.177",3.000000,0.090871,1.000000,0.037952
"1992","1992P04017","6","A","7","Sample","20","0.475",13.000000,0.357742,3.000000,0.110414
"1992","1992P04017","6","A","8","Sample","13","0.279",6.000000,0.168007,1.000000,0.039956
"1992","1992P04017","6","A","9","Sample","10","0.236",6.000000,0.171851,2.000000,0.078492
"1992","1992P04018","6","B","1","Sample","7","0.136",4.000000,0.090810,0.000000,0.000000
"1992","1992P04018","6","B","10","Sample","30","0.519",9.000000,0.232695,0.000000,0.000000
"1992","1992P04018","6","B","11","Sample","18","0.299",6.000000,0.132560,0.000000,0.000000
"1992","1992P04018","6","B","2","Sample","9","0.139",1.000000,0.029360,0.000000,0.000000
"1992","1992P04018","6","B","3","Sample","10","0.186",3.000000,0.084399,0.000000,0.000000
"1992","1992P04018","6","B","4","Sample","8","0.144",2.000000,0.057269,0.000000,0.000000
"1992","1992P04018","6","B","5","Sample","23","0.417",9.000000,0.215061,0.000000,0.000000
"1992","1992P04018","6","B","6","Sample","12","0.222",7.000000,0.147035,0.000000,0.000000
"1992","1992P04018","6","B","7","Sample","20","0.39",6.000000,0.185204,1.000000,0.042577
"1992","1992P04018","6","B","8","Sample","5","0.109",3.000000,0.076238,0.000000,0.000000
"1992","1992P04018","6","B","9","Sample","9","0.152",3.000000,0.071096,0.000000,0.000000
"1992","1992P04019","6","C","1","Sample","13","0.248",5.000000,0.111094,0.000000,0.000000
"1992","1992P04019","6","C","10","Sample","49","0.996",21.000000,0.562285,1.000000,0.059817
"1992","1992P04019","6","C","11","Sample","34","0.693",18.000000,0.434399,1.000000,0.047390
"1992","1992P04019","6","C","2","Sample","4","0.083",3.000000,0.066744,0.000000,0.000000
"1992","1992P04019","6","C","3","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04019","6","C","4","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04019","6","C","5","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04019","6","C","6","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04019","6","C","7","Sample","1","0.025",1.000000,0.025000,0.000000,0.000000
"1992","1992P04019","6","C","8","Sample","9","0.172",6.000000,0.140830,0.000000,0.000000
"1992","1992P04019","6","C","9","Sample","4","0.07",2.000000,0.041502,0.000000,0.000000
"1992","1992P04020","6","D","1","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04020","6","D","10","Sample","6","0.2",3.000000,0.146369,3.000000,0.146369
"1992","1992P04020","6","D","11","Sample","2","0.035",1.000000,0.022700,0.000000,0.000000
"1992","1992P04020","6","D","2","Sample","9","0.224",4.000000,0.132553,1.000000,0.048205
"1992","1992P04020","6","D","3","Sample","18","0.439",9.000000,0.299999,2.000000,0.095945
"1992","1992P04020","6","D","4","Sample","1","0.017",0.000000,0.000000,0.000000,0.000000
"1992","1992P04020","6","D","5","Sample","3","0.063",1.000000,0.034157,0.000000,0.000000
"1992","1992P04020","6","D","6","Sample","7","0.15",3.000000,0.087090,1.000000,0.039042
"1992","1992P04020","6","D","7","Sample","4","0.074",1.000000,0.022106,0.000000,0.000000
"1992","1992P04020","6","D","8","Sample","6","0.126",3.000000,0.076383,0.000000,0.000000
"1992","1992P04020","6","D","9","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04031","7","A","1","Sample","12","0.352",10.000000,0.316404,1.000000,0.066458
"1992","1992P04031","7","A","10","Sample","16","0.382",12.000000,0.329067,1.000000,0.036495
"1992","1992P04031","7","A","11","Sample","5","0.049",4.000000,0.041943,0.000000,0.000000
"1992","1992P04031","7","A","2","Sample","2","0.049",2.000000,0.049000,0.000000,0.000000
"1992","1992P04031","7","A","3","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04031","7","A","4","Sample","2","0.033",1.000000,0.023462,0.000000,0.000000
"1992","1992P04031","7","A","5","Sample","1","0.046",1.000000,0.046000,1.000000,0.046000
"1992","1992P04031","7","A","6","Sample","3","0.077",3.000000,0.077000,0.000000,0.000000
"1992","1992P04031","7","A","7","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04031","7","A","8","Sample","3","0.068",2.000000,0.053477,0.000000,0.000000
"1992","1992P04031","7","A","9","Sample","9","0.297",6.000000,0.238879,4.000000,0.181313
"1992","1992P04032","7","B","1","Sample","7","0.147",4.000000,0.105614,0.000000,0.000000
"1992","1992P04032","7","B","10","Sample","11","0.287",9.000000,0.253843,1.000000,0.039855
"1992","1992P04032","7","B","11","Sample","2","0.079",2.000000,0.079000,1.000000,0.041848
"1992","1992P04032","7","B","2","Sample","4","0.061",1.000000,0.028532,0.000000,0.000000
"1992","1992P04032","7","B","3","Sample","11","0.337",11.000000,0.337000,1.000000,0.047161
"1992","1992P04032","7","B","4","Sample","16","0.372",10.000000,0.301996,2.000000,0.079917
"1992","1992P04032","7","B","5","Sample","8","0.12",2.000000,0.053058,0.000000,0.000000
"1992","1992P04032","7","B","6","Sample","2","0.038",1.000000,0.025953,0.000000,0.000000
"1992","1992P04032","7","B","7","Sample","29","0.727",24.000000,0.672693,2.000000,0.085825
"1992","1992P04032","7","B","8","Sample","15","0.41",13.000000,0.380344,3.000000,0.118045
"1992","1992P04032","7","B","9","Sample","11","0.285",9.000000,0.248356,2.000000,0.081323
"1992","1992P04033","7","C","1","Sample","29","0.895",28.000000,0.877295,6.000000,0.275435
"1992","1992P04033","7","C","10","Sample","4","0.081",3.000000,0.074142,0.000000,0.000000
"1992","1992P04033","7","C","11","Sample","7","0.17",5.000000,0.153132,0.000000,0.000000
"1992","1992P04033","7","C","2","Sample","39","1.052",32.000000,0.947416,4.000000,0.167563
"1992","1992P04033","7","C","3","Sample","32","0.831",26.000000,0.753365,2.000000,0.091627
"1992","1992P04033","7","C","4","Sample","45","1.13",34.000000,0.989880,3.000000,0.127159
"1992","1992P04033","7","C","5","Sample","18","0.49",18.000000,0.490000,1.000000,0.040834
"1992","1992P04033","7","C","6","Sample","6","0.177",6.000000,0.177000,1.000000,0.043951
"1992","1992P04033","7","C","7","Sample","4","0.098",4.000000,0.098000,0.000000,0.000000
"1992","1992P04033","7","C","8","Sample","17","0.482",14.000000,0.426953,3.000000,0.127098
"1992","1992P04033","7","C","9","Sample","34","0.854",26.000000,0.746910,1.000000,0.047051
"1992","1992P04034","7","D","1","Sample","23","0.525",14.000000,0.426452,2.000000,0.078181
"1992","1992P04034","7","D","10","Sample","23","0.965",22.000000,0.953492,13.000000,0.667547
"1992","1992P04034","7","D","11","Sample","35","1.355",32.000000,1.321400,15.000000,0.790104
"1992","1992P04034","7","D","2","Sample","4","0.06",1.000000,0.037208,0.000000,0.000000
"1992","1992P04034","7","D","3","Sample","10","0.322",9.000000,0.312306,4.000000,0.170633
"1992","1992P04034","7","D","4","Sample","6","0.193",6.000000,0.193000,1.000000,0.037465
"1992","1992P04034","7","D","5","Sample","3","0.101",2.000000,0.083198,1.000000,0.050071
